"assessment_id","assessment_base_id","assessment_version","assessment_type_id","assessment_update_ts","assessment_passing_fraction"
"b3RmVw@1","59121d47","4","1","2015-10-07 23:33:55","0.8"
"O3010Q@2","e5f4a9eb","4","7","2015-10-07 23:33:55","0.8"
"O3010Q@7","aa20c192","3","7","2016-09-13 19:36:39",NA
"xDAvSQ@5","aa20c192","6","1","2016-03-02 14:37:45",NA
"O3010Q@7","fe07d937","1","1","2015-10-07 23:33:55",NA
"xDAvSQ@4","a5cc25ac","1","7","2015-12-10 15:45:25","0.8"
"dW1YXw@4","48ef8e38","1","1","2015-10-07 23:33:55","0.8"
"O3010Q@6","a5cc25ac","5","7","2015-10-07 23:33:55",NA
"b3RmVw@1","fe07d937","3","7","2015-10-08 19:17:01","0.8"
"TSxd4Q@1","a2ce730c","6","1","2016-07-13 01:07:00",NA
"b3RmVw@1","1c83f9d7","1","1","2016-09-20 18:39:49",NA
"b3RmVw@1","4b28e892","1","7","2016-09-13 19:37:19",NA
"b3RmVw@1","1c83f9d7","1","1","2015-12-08 21:13:22",NA
"TSxd4Q@1","1c83f9d7","1","1","2015-10-08 01:38:24","0.8"
"yWmNPQ@6","76cff9c9","5","7","2016-03-02 14:37:46","0.8"
"O3010Q@5","7941723","1","1","2016-07-13 04:10:24",NA
"b3RmVw@1","76cff9c9","3","1","2016-09-20 18:34:17",NA
"b3RmVw@1","bec5b851","2","7","2015-10-08 17:25:32",NA
"O3010Q@4","1c83f9d7","5","1","2016-04-05 19:21:14","0.8"
"O3010Q@4","b43fd88a","8","1","2015-10-07 23:33:56",NA
"O3010Q@8","e5f4a9eb","1","1","2015-10-07 23:33:55",NA
"b3RmVw@1","a5cc25ac","3","7","2016-07-13 01:06:53","0.8"
"dW1YXw@1","aa20c192","1","1","2016-09-20 18:40:10",NA
"yWmNPQ@3","5ab7362f","1","7","2015-10-08 17:14:14","0.8"
"b3RmVw@1","e5f4a9eb","1","1","2015-10-08 01:37:12",NA
"z4nUbw@1","d92d2b83","1","1","2016-06-24 22:47:32","0.8"
"b3RmVw@1","14dd6645","4","1","2016-09-20 18:39:18",NA
"b3RmVw@1","e5f4a9eb","1","1","2016-06-24 22:47:33","0.8"
"b3RmVw@1","a5cc25ac","5","7","2015-10-07 23:33:55",NA
"xDAvSQ@3","16737772","1","1","2015-10-07 23:33:55",NA
"b3RmVw@1","1c83f9d7","1","1","2015-10-08 17:04:56",NA
"yWmNPQ@1","e5f4a9eb","1","1","2015-10-07 23:33:55",NA
"yWmNPQ@4","ba0079e0","1","7","2016-09-13 19:27:28",NA
"b3RmVw@1","76cff9c9","1","7","2016-03-02 14:37:45",NA
"z4nUbw@3","76cff9c9","4","7","2016-09-13 19:01:33",NA
"z4nUbw@6","1c83f9d7","1","7","2015-10-07 23:33:55","0.8"
"dW1YXw@3","16238841","7","1","2015-10-07 23:33:56",NA
"z4nUbw@4","76cff9c9","1","7","2016-09-13 18:51:14",NA
"RZQpNw@1","f51b098d","4","7","2016-03-02 14:37:45",NA
"O3010Q@2","e5f4a9eb","2","7","2015-10-07 23:33:55",NA
"O3010Q@5","edc94c25","4","7","2015-10-08 01:40:02","0.8"
"xDAvSQ@2","1c83f9d7","1","7","2016-06-24 22:47:25","0.8"
"dW1YXw@2","fe07d937","6","7","2015-10-07 23:33:55",NA
"b3RmVw@1","4ca9ce26","5","7","2016-09-20 18:35:00",NA
"yWmNPQ@5","aa20c192","2","7","2015-11-24 22:48:19",NA
"O3010Q@6","80a10502","1","7","2015-10-07 23:33:55",NA
"O3010Q@3","d16ffa78","1","7","2016-09-20 18:34:29",NA
"b3RmVw@1","9322865b","3","1","2016-09-13 18:37:04",NA
"O3010Q@3","76cff9c9","6","7","2016-07-13 04:10:30","0.8"
"b3RmVw@1","c3b2bb5f","1","1","2015-10-07 23:33:55",NA
"b3RmVw@1","5071b5f4","3","7","2015-10-07 23:33:55",NA
"z4nUbw@2","a5cc25ac","1","1","2016-07-13 04:10:17","0.8"
"b3RmVw@1","d476b23c","1","7","2015-10-07 23:33:55","0.8"
"O3010Q@1","fe07d937","2","7","2016-09-13 19:36:16","0.8"
"yWmNPQ@2","e46ae66f","1","7","2015-10-07 23:33:55","0.8"
"b3RmVw@1","1c83f9d7","1","7","2015-10-07 23:33:55","0.8"
"b3RmVw@1","76cff9c9","7","7","2015-10-07 23:33:55","0.8"
"z4nUbw@5","a5cc25ac","1","7","2015-12-10 15:45:57","0.8"
"xDAvSQ@1","fcd618d6","2","7","2016-07-13 01:06:57",NA
"b3RmVw@1","c0aabe15","2","7","2015-10-07 23:33:56",NA
"O3010Q@1","fe07d937","1","7","2015-11-10 21:27:14",NA
